PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
381,0,3,Michelle Lopez,female,48.2,4,1,825451,456.82,A1,S
382,1,1,Natalie Hernandez,female,62.9,3,4,207450,181.95,,S
383,1,3,Crystal Moon,female,39.0,0,3,271890,85.26,D1,C
384,0,3,Deanna Collins,male,4.2,1,1,538741,20.1,C1,S
385,1,1,Joshua Burke,female,14.0,4,3,381974,333.44,A1,C
386,0,2,William Greene Jr.,male,35.6,1,1,500109,328.94,B1,Q
387,1,2,Anthony Martin,female,58.3,0,2,216381,179.28,C1,S
388,1,2,Ryan James,male,47.9,4,0,573125,43.47,,C
389,0,1,Erin Dawson,female,52.4,1,0,671621,214.15,,C
390,0,3,Douglas Christensen,female,38.9,2,3,234508,164.44,B1,S
391,0,2,Mr. Christopher Leon MD,female,49.6,0,0,829650,349.25,A1,Q
392,1,2,Ashley Wang,female,27.0,0,3,962645,313.22,C1,C
393,0,1,Jordan Carter,female,38.1,0,3,499111,191.4,A1,S
394,1,2,Ryan Quinn,male,59.8,2,3,250810,117.3,,Q
395,1,1,Matthew Hamilton,female,69.9,2,0,392890,506.29,A1,C
396,0,3,Kyle Dean,female,35.3,3,3,673665,236.56,,C
397,0,1,Kyle Copeland,female,4.4,1,0,940477,354.88,A1,Q
398,1,1,James Bush,male,13.8,3,3,460032,78.24,B1,Q
399,1,1,Alexandria Ortiz,female,2.6,1,4,469599,252.51,D1,S
400,0,1,Kevin Jennings,male,52.6,2,3,760960,21.16,B1,S
401,0,3,Regina Browning,female,27.3,2,1,850020,262.55,B1,C
402,0,3,Adam Mccormick Jr.,female,43.9,3,3,979611,494.16,D1,Q
403,0,2,Christopher Miller,male,40.0,4,2,271836,201.31,D1,Q
404,0,3,Rebecca Daniels,female,7.4,3,3,829903,26.95,C1,Q
405,1,3,Timothy Peters,male,32.9,1,1,145714,22.89,C1,C
406,1,2,Jason Buchanan,male,18.4,3,1,727234,203.21,B1,Q
407,1,3,Dr. Richard Vega,female,34.1,0,0,996048,88.08,B1,Q
408,1,1,Lacey Mcdowell,male,17.1,1,4,730271,19.04,,C
409,0,1,Amy Schneider,female,67.4,1,3,566960,389.2,,S
410,0,2,Adam Rojas,female,14.8,4,0,811851,238.84,C1,S
411,0,2,Mary Chavez,male,76.9,2,4,224123,153.34,C1,C
412,1,2,Thomas Savage,male,33.9,1,3,405628,461.86,,Q
413,1,1,David Romero,male,67.9,2,2,182989,65.91,,C
414,0,3,Jeanne Berry,male,50.7,3,3,398356,490.07,A1,S
415,0,1,Paula Nelson,female,59.1,0,1,929957,165.83,A1,S
416,1,2,Hayley Fisher,female,61.7,4,1,278274,455.96,,C
417,1,3,Johnny Ward,male,40.9,2,2,787995,311.78,A1,C
418,0,3,Stephanie Barron,female,43.9,1,0,425352,424.8,D1,S
419,0,1,Dale Bush,female,41.6,2,4,920260,504.26,C1,C
